15:14:36.783 WARN  Malformed command packet! Kicking. 
15:31:15.953 WARN  ~~ LOOPS: 10. ENTITY #: 717//332. VIEW #: 8. BACKLOGGED :: 186.600%! ~~ 
15:31:16.983 WARN  ~~ LOOPS: 10. ENTITY #: 720//334. VIEW #: 8. BACKLOGGED :: 132.900%! ~~ 
15:31:18.120 WARN  ~~ LOOPS: 10. ENTITY #: 728//344. VIEW #: 8. BACKLOGGED :: 241.500%! ~~ 
15:31:19.151 WARN  ~~ LOOPS: 9. ENTITY #: 725//343. VIEW #: 8. BACKLOGGED :: 227.667%! ~~ 
15:31:20.188 WARN  ~~ LOOPS: 10. ENTITY #: 728//346. VIEW #: 8. BACKLOGGED :: 136.200%! ~~ 
15:31:21.322 WARN  ~~ LOOPS: 9. ENTITY #: 723//351. VIEW #: 8. BACKLOGGED :: 122.000%! ~~ 
15:31:22.349 WARN  ~~ LOOPS: 10. ENTITY #: 723//344. VIEW #: 8. BACKLOGGED :: 165.300%! ~~ 
15:31:23.368 WARN  ~~ LOOPS: 10. ENTITY #: 715//332. VIEW #: 7. BACKLOGGED :: 147.900%! ~~ 
15:31:24.519 WARN  ~~ LOOPS: 10. ENTITY #: 713//320. VIEW #: 7. BACKLOGGED :: 221.700%! ~~ 
15:31:25.564 WARN  ~~ LOOPS: 8. ENTITY #: 707//328. VIEW #: 7. BACKLOGGED :: 183.750%! ~~ 
15:31:26.578 WARN  ~~ LOOPS: 9. ENTITY #: 706//318. VIEW #: 7. BACKLOGGED :: 195.000%! ~~ 
15:31:27.727 WARN  ~~ LOOPS: 9. ENTITY #: 706//323. VIEW #: 7. BACKLOGGED :: 195.000%! ~~ 
15:31:28.771 WARN  ~~ LOOPS: 11. ENTITY #: 706//320. VIEW #: 7. BACKLOGGED :: 110.182%! ~~ 
15:31:29.798 WARN  ~~ LOOPS: 9. ENTITY #: 702//323. VIEW #: 7. BACKLOGGED :: 207.000%! ~~ 
15:31:30.929 WARN  ~~ LOOPS: 10. ENTITY #: 701//331. VIEW #: 8. BACKLOGGED :: 112.800%! ~~ 
15:31:31.961 WARN  ~~ LOOPS: 10. ENTITY #: 701//327. VIEW #: 8. BACKLOGGED :: 205.500%! ~~ 
15:31:33.007 WARN  ~~ LOOPS: 10. ENTITY #: 692//320. VIEW #: 8. BACKLOGGED :: 211.800%! ~~ 
15:31:34.033 WARN  ~~ LOOPS: 9. ENTITY #: 693//313. VIEW #: 8. BACKLOGGED :: 198.333%! ~~ 
15:31:35.133 WARN  ~~ LOOPS: 10. ENTITY #: 692//318. VIEW #: 8. BACKLOGGED :: 145.800%! ~~ 
15:31:36.158 WARN  ~~ LOOPS: 10. ENTITY #: 692//311. VIEW #: 8. BACKLOGGED :: 203.700%! ~~ 
15:31:37.188 WARN  ~~ LOOPS: 8. ENTITY #: 693//314. VIEW #: 8. BACKLOGGED :: 134.250%! ~~ 
15:31:38.217 WARN  ~~ LOOPS: 9. ENTITY #: 716//323. VIEW #: 8. BACKLOGGED :: 212.333%! ~~ 
15:31:39.365 WARN  ~~ LOOPS: 11. ENTITY #: 713//331. VIEW #: 8. BACKLOGGED :: 137.455%! ~~ 
15:31:40.372 WARN  ~~ LOOPS: 9. ENTITY #: 717//335. VIEW #: 8. BACKLOGGED :: 198.667%! ~~ 
15:31:41.417 WARN  ~~ LOOPS: 11. ENTITY #: 716//326. VIEW #: 8. BACKLOGGED :: 170.455%! ~~ 
15:31:42.445 WARN  ~~ LOOPS: 10. ENTITY #: 717//326. VIEW #: 8. BACKLOGGED :: 193.800%! ~~ 
15:31:43.569 WARN  ~~ LOOPS: 12. ENTITY #: 717//323. VIEW #: 8. BACKLOGGED :: 167.000%! ~~ 
15:31:44.594 WARN  ~~ LOOPS: 11. ENTITY #: 709//302. VIEW #: 8. BACKLOGGED :: 162.545%! ~~ 
15:31:45.717 WARN  ~~ LOOPS: 10. ENTITY #: 707//292. VIEW #: 8. BACKLOGGED :: 145.200%! ~~ 
15:31:46.749 WARN  ~~ LOOPS: 11. ENTITY #: 711//294. VIEW #: 8. BACKLOGGED :: 136.909%! ~~ 
15:31:47.930 WARN  ~~ LOOPS: 10. ENTITY #: 711//300. VIEW #: 8. BACKLOGGED :: 118.800%! ~~ 
15:31:48.980 WARN  ~~ LOOPS: 10. ENTITY #: 711//306. VIEW #: 8. BACKLOGGED :: 189.300%! ~~ 
15:31:50.006 WARN  ~~ LOOPS: 10. ENTITY #: 690//293. VIEW #: 8. BACKLOGGED :: 196.800%! ~~ 
15:31:51.010 WARN  ~~ LOOPS: 10. ENTITY #: 693//297. VIEW #: 8. BACKLOGGED :: 163.200%! ~~ 
15:31:52.144 WARN  ~~ LOOPS: 12. ENTITY #: 691//296. VIEW #: 8. BACKLOGGED :: 150.250%! ~~ 
15:31:53.163 WARN  ~~ LOOPS: 11. ENTITY #: 688//291. VIEW #: 8. BACKLOGGED :: 169.636%! ~~ 
15:31:54.317 WARN  ~~ LOOPS: 12. ENTITY #: 688//292. VIEW #: 8. BACKLOGGED :: 137.000%! ~~ 
15:31:55.343 WARN  ~~ LOOPS: 12. ENTITY #: 688//283. VIEW #: 7. BACKLOGGED :: 136.250%! ~~ 
15:31:56.343 WARN  ~~ LOOPS: 11. ENTITY #: 689//265. VIEW #: 7. BACKLOGGED :: 164.455%! ~~ 
15:31:57.386 WARN  ~~ LOOPS: 12. ENTITY #: 693//270. VIEW #: 8. BACKLOGGED :: 150.750%! ~~ 
15:31:58.407 WARN  ~~ LOOPS: 10. ENTITY #: 671//273. VIEW #: 8. BACKLOGGED :: 143.100%! ~~ 
15:31:59.524 WARN  ~~ LOOPS: 9. ENTITY #: 670//273. VIEW #: 8. BACKLOGGED :: 178.000%! ~~ 
15:32:00.565 WARN  ~~ LOOPS: 10. ENTITY #: 675//277. VIEW #: 8. BACKLOGGED :: 184.800%! ~~ 
15:32:01.609 WARN  ~~ LOOPS: 11. ENTITY #: 677//287. VIEW #: 8. BACKLOGGED :: 136.364%! ~~ 
15:32:02.759 WARN  ~~ LOOPS: 11. ENTITY #: 696//310. VIEW #: 8. BACKLOGGED :: 119.182%! ~~ 
15:32:03.760 WARN  ~~ LOOPS: 10. ENTITY #: 696//314. VIEW #: 8. BACKLOGGED :: 164.700%! ~~ 
15:32:04.804 WARN  ~~ LOOPS: 11. ENTITY #: 695//311. VIEW #: 8. BACKLOGGED :: 134.727%! ~~ 
15:32:05.939 WARN  ~~ LOOPS: 10. ENTITY #: 698//307. VIEW #: 8. BACKLOGGED :: 161.400%! ~~ 
15:32:06.952 WARN  ~~ LOOPS: 10. ENTITY #: 701//308. VIEW #: 8. BACKLOGGED :: 194.700%! ~~ 
15:32:07.952 WARN  ~~ LOOPS: 10. ENTITY #: 703//305. VIEW #: 8. BACKLOGGED :: 192.000%! ~~ 
15:32:09.118 WARN  ~~ LOOPS: 11. ENTITY #: 658//286. VIEW #: 7. BACKLOGGED :: 147.545%! ~~ 
15:32:10.130 WARN  ~~ LOOPS: 11. ENTITY #: 661//229. VIEW #: 7. BACKLOGGED :: 157.091%! ~~ 
15:32:11.168 WARN  ~~ LOOPS: 10. ENTITY #: 664//233. VIEW #: 8. BACKLOGGED :: 149.100%! ~~ 
15:32:12.326 WARN  ~~ LOOPS: 10. ENTITY #: 660//239. VIEW #: 8. BACKLOGGED :: 241.500%! ~~ 
15:32:13.350 WARN  ~~ LOOPS: 10. ENTITY #: 663//235. VIEW #: 8. BACKLOGGED :: 170.100%! ~~ 
15:32:14.366 WARN  ~~ LOOPS: 11. ENTITY #: 667//240. VIEW #: 8. BACKLOGGED :: 142.364%! ~~ 
15:32:15.404 WARN  ~~ LOOPS: 11. ENTITY #: 667//233. VIEW #: 8. BACKLOGGED :: 151.364%! ~~ 
15:32:16.520 WARN  ~~ LOOPS: 11. ENTITY #: 670//236. VIEW #: 8. BACKLOGGED :: 132.000%! ~~ 
15:32:17.557 WARN  ~~ LOOPS: 13. ENTITY #: 672//238. VIEW #: 8. BACKLOGGED :: 126.231%! ~~ 
15:32:18.579 WARN  ~~ LOOPS: 12. ENTITY #: 673//238. VIEW #: 8. BACKLOGGED :: 113.000%! ~~ 
15:32:19.606 WARN  ~~ LOOPS: 12. ENTITY #: 645//231. VIEW #: 8. BACKLOGGED :: 121.250%! ~~ 
15:32:20.624 WARN  ~~ LOOPS: 13. ENTITY #: 648//219. VIEW #: 8. BACKLOGGED :: 119.538%! ~~ 
15:32:24.805 WARN  ~~ LOOPS: 14. ENTITY #: 657//195. VIEW #: 8. BACKLOGGED :: 109.500%! ~~ 
15:32:25.933 WARN  ~~ LOOPS: 14. ENTITY #: 658//190. VIEW #: 8. BACKLOGGED :: 142.714%! ~~ 
15:32:26.942 WARN  ~~ LOOPS: 13. ENTITY #: 661//189. VIEW #: 8. BACKLOGGED :: 101.769%! ~~ 
15:32:30.019 WARN  ~~ LOOPS: 11. ENTITY #: 672//197. VIEW #: 8. BACKLOGGED :: 176.727%! ~~ 
15:32:35.321 WARN  ~~ LOOPS: 13. ENTITY #: 676//212. VIEW #: 8. BACKLOGGED :: 116.538%! ~~ 
15:32:36.343 WARN  ~~ LOOPS: 14. ENTITY #: 672//214. VIEW #: 8. BACKLOGGED :: 117.214%! ~~ 
15:32:37.404 WARN  ~~ LOOPS: 10. ENTITY #: 673//216. VIEW #: 8. BACKLOGGED :: 133.200%! ~~ 
15:32:38.410 WARN  ~~ LOOPS: 12. ENTITY #: 673//219. VIEW #: 8. BACKLOGGED :: 141.250%! ~~ 
15:32:39.524 WARN  ~~ LOOPS: 13. ENTITY #: 675//219. VIEW #: 8. BACKLOGGED :: 108.692%! ~~ 
15:32:40.560 WARN  ~~ LOOPS: 14. ENTITY #: 677//219. VIEW #: 8. BACKLOGGED :: 107.571%! ~~ 
15:32:41.583 WARN  ~~ LOOPS: 13. ENTITY #: 679//225. VIEW #: 8. BACKLOGGED :: 116.077%! ~~ 
15:32:42.605 WARN  ~~ LOOPS: 13. ENTITY #: 679//229. VIEW #: 8. BACKLOGGED :: 107.538%! ~~ 
15:32:43.718 WARN  ~~ LOOPS: 12. ENTITY #: 679//242. VIEW #: 8. BACKLOGGED :: 122.500%! ~~ 
15:32:44.756 WARN  ~~ LOOPS: 13. ENTITY #: 680//251. VIEW #: 8. BACKLOGGED :: 125.308%! ~~ 
15:32:45.779 WARN  ~~ LOOPS: 11. ENTITY #: 683//265. VIEW #: 8. BACKLOGGED :: 162.273%! ~~ 
15:32:46.920 WARN  ~~ LOOPS: 13. ENTITY #: 686//269. VIEW #: 8. BACKLOGGED :: 125.538%! ~~ 
15:32:47.953 WARN  ~~ LOOPS: 13. ENTITY #: 685//280. VIEW #: 8. BACKLOGGED :: 126.000%! ~~ 
15:32:49.128 WARN  ~~ LOOPS: 10. ENTITY #: 689//290. VIEW #: 8. BACKLOGGED :: 141.900%! ~~ 
